destination,aspecto,n_menciones,n_reviews_unique,n_pos,n_neu,n_neg,pct_pos,pct_neu,pct_neg,sentiment_score,confidence,score_ajustado,score_normalizado_0_1,evidence_status,conflict_flag,dominant_label
Complejo Arqueológico Chan Chan,seguridad,14,14,2,11,1,14.29,78.57,7.14,0.0714,1.0,0.0714,0.5357,evidencia_suficiente,0,neutro
Complejo Arqueológico Chan Chan,accesibilidad,69,69,37,28,4,53.62,40.58,5.8,0.4783,1.0,0.4783,0.7391,evidencia_suficiente,0,positivo
Complejo Arqueológico Chan Chan,limpieza,66,66,47,11,8,71.21,16.67,12.12,0.5909,1.0,0.5909,0.7955,evidencia_suficiente,0,positivo
Complejo Arqueológico Chan Chan,atencion_servicio,207,207,113,85,9,54.59,41.06,4.35,0.5024,1.0,0.5024,0.7512,evidencia_suficiente,0,positivo
Complejo Arqueológico Chan Chan,gastronomia,57,57,18,38,1,31.58,66.67,1.75,0.2982,1.0,0.2982,0.6491,evidencia_suficiente,0,neutro
Complejo Arqueológico Chan Chan,alojamiento,4,4,0,4,0,0.0,100.0,0.0,0.0,0.4,0.0,0.5,evidencia_insuficiente,0,neutro
Huacas del Sol y de la Luna,atractivos,528,528,502,23,3,95.08,4.36,0.57,0.9451,1.0,0.9451,0.9725,evidencia_suficiente,0,positivo
Huacas del Sol y de la Luna,costos,124,124,49,70,5,39.52,56.45,4.03,0.3548,1.0,0.3548,0.6774,evidencia_suficiente,0,neutro
Huacas del Sol y de la Luna,seguridad,11,11,4,7,0,36.36,63.64,0.0,0.3636,1.0,0.3636,0.6818,evidencia_suficiente,0,neutro
Huacas del Sol y de la Luna,accesibilidad,98,98,53,42,3,54.08,42.86,3.06,0.5102,1.0,0.5102,0.7551,evidencia_suficiente,0,positivo
Huacas del Sol y de la Luna,limpieza,60,60,47,7,6,78.33,11.67,10.0,0.6833,1.0,0.6833,0.8417,evidencia_suficiente,0,positivo
Huacas del Sol y de la Luna,atencion_servicio,223,223,127,95,1,56.95,42.6,0.45,0.565,1.0,0.565,0.7825,evidencia_suficiente,0,positivo
Huacas del Sol y de la Luna,gastronomia,55,55,19,35,1,34.55,63.64,1.82,0.3273,1.0,0.3273,0.6636,evidencia_suficiente,0,neutro
Huacas del Sol y de la Luna,alojamiento,1,1,1,0,0,100.0,0.0,0.0,1.0,0.1,0.1,0.55,evidencia_insuficiente,0,positivo
Líneas y Geoglifos de Nasca y Palpa,atractivos,401,401,375,19,7,93.52,4.74,1.75,0.9177,1.0,0.9177,0.9589,evidencia_suficiente,0,positivo
Líneas y Geoglifos de Nasca y Palpa,costos,95,95,30,42,23,31.58,44.21,24.21,0.0737,1.0,0.0737,0.5368,evidencia_suficiente,0,neutro
